epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1034.94,1.17685,1.44396,0.8246,0.12546,0.03737,0.06284,0.05651,1.06065,inf,0.81588,0.000405983,0.000405983,0.000405983
2,1803.94,1.21404,0.71795,0.81628,0.04843,0.27789,0.03541,0.02349,1.2928,inf,0.85065,0.000814505,0.000814505,0.000814505
3,2317.05,1.19662,0.68898,0.81629,0.49201,0.45574,0.34708,0.19424,1.14539,2.07901,0.81892,0.00121478,0.00121478,0.00121478
4,2788.78,1.27617,0.73711,0.81917,0.63627,0.5123,0.48646,0.28053,1.15883,1.0515,0.81639,0.00121287,0.00121287,0.00121287
5,3235.7,1.16137,0.62283,0.81376,0.88366,0.58037,0.69623,0.44212,0.99498,0.5896,0.80458,0.0012005,0.0012005,0.0012005
6,3720.16,1.09688,0.5752,0.80817,0.83654,0.62646,0.73106,0.46855,0.94135,0.54883,0.79705,0.00118812,0.00118812,0.00118812
7,4223.82,1.13003,0.57718,0.80452,0.81742,0.63259,0.7203,0.43024,0.99306,0.56878,0.79868,0.00117575,0.00117575,0.00117575
8,4712.42,1.07944,0.55684,0.80432,0.80961,0.6881,0.7316,0.4587,0.96584,0.53383,0.8043,0.00116337,0.00116337,0.00116337
9,5176.49,1.02392,0.51437,0.80104,0.85311,0.66222,0.76213,0.50067,0.9092,0.51912,0.80007,0.001151,0.001151,0.001151
10,5913.12,1.01549,0.5193,0.79884,0.75693,0.67411,0.72249,0.46427,0.97261,0.54449,0.79998,0.00113863,0.00113863,0.00113863
11,7074.18,1.01556,0.51125,0.79766,0.88381,0.69767,0.77328,0.51895,0.87319,0.47492,0.7926,0.00112625,0.00112625,0.00112625
12,8286.56,0.96978,0.48546,0.79597,0.81952,0.70819,0.8099,0.51646,0.91295,0.47391,0.79615,0.00111388,0.00111388,0.00111388
13,9599.9,0.95699,0.46479,0.7961,0.84699,0.73572,0.7891,0.52412,0.89227,0.46027,0.79225,0.0011015,0.0011015,0.0011015
14,11053.3,0.94602,0.46016,0.79455,0.853,0.73834,0.77983,0.52566,0.85138,0.43918,0.79131,0.00108913,0.00108913,0.00108913
